RequestMessages,SuccessfulResponseMessages,RequestResponseRatio,RegistrationRate,PDURequestRate,RequestIAT,ProcedureCodeNumber,ProcedureCodeRate
0,0,0,0.000,0.000,0,1212,1212.000
0,0,0,0.000,0.000,0,940,940.000
0,0,0,0.000,0.000,0,876,876.000
0,0,0,0.000,0.000,0,857,857.000
0,0,0,0.000,0.000,0,974,974.000
0,0,0,0.000,0.000,0,1007,1007.000
0,0,0,0.000,0.000,0,1022,1022.000
0,0,0,0.000,0.000,0,929,929.000
0,0,0,0.000,0.000,0,938,938.000
0,0,0,0.000,0.000,0,899,899.000
0,0,0,0.000,0.000,0,692,692.000
0,0,0,0.000,0.000,0,998,998.000
0,0,0,0.000,0.000,0,1189,1189.000
0,0,0,0.000,0.000,0,1021,1021.000
0,0,0,0.000,0.000,0,991,991.000
0,0,0,0.000,0.000,0,1082,1082.000
0,0,0,0.000,0.000,0,2100,2100.000
0,0,0,0.000,0.000,0,4006,4006.000
0,0,0,0.000,0.000,0,2488,2488.000
0,0,0,0.000,0.000,0,4242,4242.000
0,0,0,0.000,0.000,0,2144,2144.000
0,0,0,0.000,0.000,0,823,823.000
0,0,0,0.000,0.000,0,1390,1390.000
0,0,0,0.000,0.000,0,1398,1398.000
0,0,0,0.000,0.000,0,1337,1337.000
0,0,0,0.000,0.000,0,1379,1379.000
0,0,0,0.000,0.000,0,1781,1781.000
0,0,0,0.000,0.000,0,1680,1680.000
0,0,0,0.000,0.000,0,2121,2121.000
0,0,0,0.000,0.000,0,1638,1638.000
0,0,0,0.000,0.000,0,1410,1410.000
0,0,0,0.000,0.000,0,1848,1848.000
0,0,0,0.000,0.000,0,2248,2248.000
0,0,0,0.000,0.000,0,2387,2387.000
0,0,0,0.000,0.000,0,2050,2050.000
0,0,0,0.000,0.000,0,2127,2127.000
0,0,0,0.000,0.000,0,841,841.000
0,0,0,0.000,0.000,0,2280,2280.000
0,0,0,0.000,0.000,0,2252,2252.000
0,0,0,0.000,0.000,0,1873,1873.000
0,0,0,0.000,0.000,0,2726,2726.000
0,0,0,0.000,0.000,0,2597,2597.000
0,0,0,0.000,0.000,0,2346,2346.000
0,0,0,0.000,0.000,0,1945,1945.000
0,0,0,0.000,0.000,0,2046,2046.000
0,0,0,0.000,0.000,0,2361,2361.000
0,0,0,0.000,0.000,0,2915,2915.000
0,0,0,0.000,0.000,0,1177,1177.000
0,0,0,0.000,0.000,0,4831,4831.000
0,0,0,0.000,0.000,0,3592,3592.000
0,0,0,0.000,0.000,0,2201,2201.000
0,0,0,0.000,0.000,0,6650,6650.000
0,0,0,0.000,0.000,0,6574,6574.000
0,0,0,0.000,0.000,0,972,972.000
0,0,0,0.000,0.000,0,2729,2729.000
0,0,0,0.000,0.000,0,2669,2669.000
0,0,0,0.000,0.000,0,5,5.000
0,0,0,0.000,0.000,0,1845,1845.000
0,0,0,0.000,0.000,0,749,749.000
0,0,0,0.000,0.000,0,2252,2252.000
0,0,0,0.000,0.000,0,3140,3140.000
0,0,0,0.000,0.000,0,2378,2378.000
0,0,0,0.000,0.000,0,5883,5883.000
0,0,0,0.000,0.000,0,3790,3790.000
0,0,0,0.000,0.000,0,4557,4557.000
0,0,0,0.000,0.000,0,1934,1934.000
0,0,0,0.000,0.000,0,1200,1200.000
0,0,0,0.000,0.000,0,2257,2257.000
0,0,0,0.000,0.000,0,725,725.000
0,0,0,0.000,0.000,0,882,882.000
0,0,0,0.000,0.000,0,972,972.000
0,0,0,0.000,0.000,0,2128,2128.000
0,0,0,0.000,0.000,0,4350,4350.000
0,0,0,0.000,0.000,0,2498,2498.000
0,0,0,0.000,0.000,0,4621,4621.000
0,0,0,0.000,0.000,0,7608,7608.000
0,0,0,0.000,0.000,0,3492,3492.000
0,0,0,0.000,0.000,0,4983,4983.000
0,0,0,0.000,0.000,0,4413,4413.000
0,0,0,0.000,0.000,0,6392,6392.000
0,0,0,0.000,0.000,0,6111,6111.000
0,0,0,0.000,0.000,0,4139,4139.000
0,0,0,0.000,0.000,0,4073,4073.000
0,0,0,0.000,0.000,0,3364,3364.000
0,0,0,0.000,0.000,0,3772,3772.000
0,0,0,0.000,0.000,0,2618,2618.000
0,0,0,0.000,0.000,0,1868,1868.000
0,0,0,0.000,0.000,0,1495,1495.000
0,0,0,0.000,0.000,0,1478,1478.000
0,0,0,0.000,0.000,0,884,884.000
0,0,0,0.000,0.000,0,3011,3011.000
0,0,0,0.000,0.000,0,833,833.000
0,0,0,0.000,0.000,0,736,736.000
0,0,0,0.000,0.000,0,713,713.000
0,0,0,0.000,0.000,0,751,751.000
0,0,0,0.000,0.000,0,809,809.000
0,0,0,0.000,0.000,0,1165,1165.000
0,0,0,0.000,0.000,0,1041,1041.000
0,0,0,0.000,0.000,0,1143,1143.000
0,0,0,0.000,0.000,0,829,829.000
0,0,0,0.000,0.000,0,854,854.000
0,0,0,0.000,0.000,0,821,821.000
0,0,0,0.000,0.000,0,1077,1077.000
0,0,0,0.000,0.000,0,1075,1075.000
0,0,0,0.000,0.000,0,853,853.000
0,0,0,0.000,0.000,0,1057,1057.000
0,0,0,0.000,0.000,0,1038,1038.000
0,0,0,0.000,0.000,0,1023,1023.000
65,0,0.000,65.000,0.000,0.000,1179,1179.000
889,0,0.000,889.000,0.000,0.000,925,925.000
960,0,0.000,960.000,0.000,0.000,960,960.000
1221,0,0.000,1221.000,0.000,0.000,1221,1221.000
1119,0,0.000,1119.000,0.000,0.000,1119,1119.000
303,0,0.000,303.000,0.000,0.000,1274,1274.000
0,0,0,0.000,0.000,0,1084,1084.000
0,0,0,0.000,0.000,0,1196,1196.000
0,0,0,0.000,0.000,0,1038,1038.000
0,0,0,0.000,0.000,0,1080,1080.000
0,0,0,0.000,0.000,0,1118,1118.000
0,0,0,0.000,0.000,0,1061,1061.000
0,0,0,0.000,0.000,0,1035,1035.000
0,0,0,0.000,0.000,0,948,948.000
0,0,0,0.000,0.000,0,1168,1168.000
0,0,0,0.000,0.000,0,995,995.000
0,0,0,0.000,0.000,0,1184,1184.000
0,0,0,0.000,0.000,0,1024,1024.000
0,0,0,0.000,0.000,0,849,849.000
0,0,0,0.000,0.000,0,1071,1071.000
0,0,0,0.000,0.000,0,1069,1069.000
0,0,0,0.000,0.000,0,1070,1070.000
0,0,0,0.000,0.000,0,982,982.000
0,0,0,0.000,0.000,0,1065,1065.000
0,0,0,0.000,0.000,0,1114,1114.000
0,0,0,0.000,0.000,0,1115,1115.000
0,0,0,0.000,0.000,0,1027,1027.000
0,0,0,0.000,0.000,0,951,951.000
0,0,0,0.000,0.000,0,1069,1069.000
0,0,0,0.000,0.000,0,1081,1081.000
0,0,0,0.000,0.000,0,1086,1086.000
0,0,0,0.000,0.000,0,1031,1031.000
0,0,0,0.000,0.000,0,1081,1081.000
0,0,0,0.000,0.000,0,950,950.000
0,0,0,0.000,0.000,0,1107,1107.000
0,0,0,0.000,0.000,0,1129,1129.000
0,0,0,0.000,0.000,0,1037,1037.000
0,0,0,0.000,0.000,0,1059,1059.000
0,0,0,0.000,0.000,0,967,967.000
0,0,0,0.000,0.000,0,1054,1054.000
0,0,0,0.000,0.000,0,1120,1120.000
0,0,0,0.000,0.000,0,1136,1136.000
0,0,0,0.000,0.000,0,1050,1050.000
0,0,0,0.000,0.000,0,1049,1049.000
0,0,0,0.000,0.000,0,1259,1259.000
0,0,0,0.000,0.000,0,1062,1062.000
0,0,0,0.000,0.000,0,1047,1047.000
0,0,0,0.000,0.000,0,1030,1030.000
0,0,0,0.000,0.000,0,1030,1030.000
0,0,0,0.000,0.000,0,1111,1111.000
0,0,0,0.000,0.000,0,940,940.000
0,0,0,0.000,0.000,0,1251,1251.000
0,0,0,0.000,0.000,0,1048,1048.000
0,0,0,0.000,0.000,0,863,863.000
0,0,0,0.000,0.000,0,1239,1239.000
0,0,0,0.000,0.000,0,933,933.000
0,0,0,0.000,0.000,0,949,949.000
0,0,0,0.000,0.000,0,1216,1216.000
0,0,0,0.000,0.000,0,1317,1317.000
0,0,0,0.000,0.000,0,1330,1330.000
0,0,0,0.000,0.000,0,1177,1177.000
